month,mau_yoy,dau_yoy,stick_yoy
2026-01,-4.5,-7.8,-3.6
2026-02,0.8,-11.8,-12.5
2026-03,8.1,-9.5,-16.3
2026-04,9.7,-9.4,-17.4
2026-05,14.5,-8.7,-20.3
2026-06,9.5,-10.0,-17.8
2026-07,9.2,-8.2,-15.9
2026-08,20.5,-7.4,-23.1
